Date;Amy;Arcade;Asym;Bang;Bat;Bigmama;BlackTits;Bonny;Cinderella;Cleft;Crack;Crunched;Damage;Dua;Excroissance;Gumal;Gutter;H1;H10Mimi;H11Bosom;H13Torticoli;H14Pink;H15;H16Tracy;H17Bola;H18;H2;H3Yeah;H4Nipples;H5Pincang;H6Terkulai;H7Lauren;H8Wink;H9Tumeur;Helix;Hole;Littlefinger;Melorot;Monroe;Precious;Putih;Slash;Snag;Snick;Spotty;Stain;Telinga;Tip;Trident;Trivial;Tuft;Tugas;Tumsist;White;You;Young
Jan-18;899.998;900.001;899.999;0;2699.994;899.999;0;900;0;899.996;0;0;0;0;900.001;0;0;2305.645;0;900;900.001;0;0;899.998;0;0;3500.83;900;0;900.001;0;1800.002;899.998;899.999;0;0;0;0;0;246.98;0;0;899.999;856.083;900;0;857.356;0;1799.994;0;0;0;0;0;0;678.09
Feb-18;899.999;899.999;1799.996;899.997;0;1800.001;858.028;900;0;1799.997;854.212;0;2033.511;0;0;0;0;899.999;899.998;1753.626;899.998;1800.001;0;900.004;0;0;0;1799.996;0;818.292;0;784.339;899.997;833.315;0;1717.776;0;0;0;1800.005;0;0;0;0;1799.999;1799.998;900.001;1799.998;900.001;0;900.001;0;0;2553.798;1279.745;1799.999
Mar-18;0;900;0;0;0;0;0;900;0;407.461;0;0;0;0;1800.003;0;0;0;0;0;0;0;0;0;0;0;0;0;336.865;0;0;0;312.188;0;0;0;0;899.997;0;900;0;495.062;0;295.203;0;420.568;0;0;0;0;0;900.003;0;0;0;734.414
Apr-18;2652.075;900;900;1799.897;899.999;883.045;2699.486;0;3923.316;0;2699.994;3599.999;0;3062.56;888.722;0;4394.172;394.398;2997.437;1800.001;1191.929;2700.003;0;900.002;0;0;900;899.999;2377.805;1667.183;3843.711;1601.223;899.999;2085.41;0;2409.616;3600.003;2830.788;899.999;1799.999;0;5399.993;2963.108;1608.231;0;2084.345;2624.26;900.002;869.541;3373.346;2749.617;2610.318;3872.698;362.748;2580.962;900
May-18;900.002;900.002;900.001;1800.001;899.999;1799.995;899.999;0;476.813;1783.594;1382.708;900;0;1800.005;1800.002;0;899.998;1665.04;900.001;808.309;1799.998;0;0;1800;0;0;862.638;900;2019.489;1643.368;899.997;899.999;1799.999;859.962;4499.999;802.514;899.999;866.844;3600.001;0;0;0;900.005;1800;2675.312;899.999;737.214;1799.997;1799.999;1800;900.005;1799.998;899.999;1760.313;885.732;899.999
Jun-18;0;0;0;0;0;0;0;0;0;0;0;0;0;900.001;0;0;900.003;0;899.998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;900;0;0;272.747;0;0;0;0;0;0;0;634.563;0;0;0;0;0;0;857.647;900.002;0;0
Jul-18;745.858;0;1446.354;1176.096;0;2449.376;2064.615;0;4419.287;3392.693;3599.996;3118.847;0;1800.004;1544.142;0;2700;1698.577;2563.357;3481.783;1799.999;900.005;0;1800.001;0;0;0;4113.405;4390.876;2699.998;3978.563;900.001;2498.547;2700.004;2700.001;608.369;4350.259;899.999;4451.519;1800.001;0;2603.463;3464.123;899.999;3222.706;900.001;1755.636;2659.235;1252.57;3499.877;758.656;2506.333;2606.417;899.997;3867.833;2513.364
Aug-18;7911.104;11211.278;3843.42;3426.394;11257.23;1240.049;2150.875;0;899.998;1262.061;900;900;0;1799.997;1538.979;8800.303;900.001;6604.855;1799.996;899.993;3211.887;2699.996;0;8877.887;0;0;0;899.999;0;7848.903;899.996;6781.781;795.515;1748.268;1554.662;3600;900;3599.999;710.576;1799.998;2628.939;899.997;1799.999;4267.995;900.002;0;2102.786;1972.807;1800.001;879.234;3600;1311.626;900.001;2558.193;739.72;1641.955
Sep-18;12587.061;12712.894;900.001;899.999;11462.21;900.003;900.004;0;900;900;820.892;1576.539;0;522.823;1563.495;1618.272;867.052;2659.562;900.001;900.002;899.998;899.997;0;900.006;0;0;0;900;900.001;2227.545;899.998;0;1800.002;848.225;846.147;899.999;900.001;900.004;899.998;1800.002;7847.124;900;899.997;900.003;900;0;1153.579;900.002;1800.007;900;1679.272;900.001;899.998;869.836;900;899.998
Oct-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nov-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jan-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;867.015;0;0;0;0;0;0;751.924;0;823.134;0;0;368.693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;899.997;900.002;0;0;0;0
Feb-19;804.362;0;900;344.526;899.996;0;900.003;0;0;612.298;0;899.996;0;0;899.998;0;900;0;0;887.217;837.741;0;0;0;0;0;0;900.003;0;755.836;0;0;0;882.836;0;0;0;0;0;0;0;0;0;900.001;899.998;0;899.999;0;0;651.134;899.999;0;0;0;0;0
Mar-19;0;2571.046;1800.005;1775.39;773.966;1494.121;1405.209;0;0;679.682;0;708.198;0;708.683;900;505.658;1704.966;2531.032;2643.802;1745.212;1305.921;899.996;0;0;0;0;0;1715.329;1799.997;2393.05;3473.045;1743.173;1799.998;900.001;1799.997;1107.505;708.467;0;838.327;0;1775.047;1745.896;548.667;1746.614;900.003;0;774.622;900.002;1642.211;900;1800.002;1781.91;900.002;1251.619;2504.636;2566.871
Apr-19;2452.968;0;872.104;551.374;900;1799.999;795.859;0;2699.999;900.003;2699.994;900.001;0;3322.458;1799.999;2604.61;1608.723;1718.609;2614.672;2419.569;899.998;2699.998;0;2611.145;2680.821;0;0;2638.68;1290.889;2700.009;1800.003;2602.415;1742.913;2352.133;1237.284;2700;2453.7;0;1403.575;0;899.996;0;3275.213;0;830.499;0;1742.169;1552.263;899.998;1800.003;0;900.003;0;1799.997;0;900.001
May-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jun-19;2650.825;4210.541;1521.201;3805.026;5158.5;3599.998;3279.172;0;3599.997;3595.362;3130.077;3696.243;0;2438.01;2682.257;2649.85;2699.999;5386.187;4388.689;2699.999;4108.537;2622.497;0;3600.002;900.001;0;0;3599.999;3506.175;3580.447;2699.997;3427.762;4478.512;4400.569;3551.96;2700.005;2700.003;0;3939.73;0;3447.006;2699.999;2700.003;3513.018;2689.518;0;2699.995;3860.37;3535.781;3573.125;2588.264;2700;0;2700.004;3048.066;3099.615
Jul-19;6052.174;3600;4460.747;4403.197;3451.801;5252.115;3567.06;0;4440.372;3600.092;5400;4817.557;0;5251.645;5381.101;4846.318;3599.999;3599.999;2508.745;3918.12;3599.999;4426.829;0;3503.947;0;0;0;3600.003;4990.895;2700.005;3216.999;4418.984;3800.84;2675.242;3804.196;4499.991;4249.303;0;4461.922;0;3290.333;4225.702;4421.17;4347.562;3600.003;0;5689.081;4181.631;3455.725;3592.796;3600.003;4046.803;0;3599.991;4337.892;3565.332
Aug-19;0;2354.741;3599.996;3220.3492;900.003;1800.004;3600.003;0;3119.761;3599.999;2540.51;2700.007;0;1799.993;900;2793.92;2700.005;0;1800.004;1799.996;3583.711;2472.576;0;0;900;0;0;900;1800;845.918;1981.556;900;3599.999;1800.002;3135.609;2700.004;3599.998;0;3321.52;0;5082.1;2700.002;0;3134.785;4140.417;0;2700.003;3600.001;3600.005;4165.844;3600.002;3486.653;0;3020.265;3599.996;3600
Sep-19;0;NA;1733.532;0;0;0;0;0;0;0;0;0;0;0;900.003;0;899.999;0;0;0;0;899.994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;900.001;0;900;0;0
Oct-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nov-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dec-19;900.004;900.001;0;2674.94;899.997;1996.46;2699.999;0;2699.996;2950.5;2700.001;1800;0;2397.606;2699.994;1799.998;1800;2700.007;2647.068;900;2700.001;2699.998;4419.903;900.001;5324.848;4713.336;0;0;3494.533;876.662;1799.999;584.996;1799.996;2699.999;2699.999;2699.999;2699.996;0;2158.607;0;1800;2699.996;5301.157;2700.004;2700.003;0;2699.999;2699.998;2700.001;2699.997;2436.292;3035.096;0;2501.758;2699.994;2635.712
Jan-20;2699.996;2307.943;6263.707;5370.111;1161.556;6065.681;5400.006;0;5400.004;5399.989;5337.844;6254.133;0;5073.547;5375.801;7199.992;4499.99;2700;4500.005;7076.544;4499.993;4500.005;6879.235;6300.005;7200.003;9058.848;0;0;4500.005;1800.005;5321.69;5400.005;4499.995;5193.005;5399.998;5399.998;4147.481;0;5333.909;0;6300.003;7150.633;5167.83;5400.002;6106.156;0;3521.657;4844.064;5341.807;4474.433;5399.994;5251.235;0;6468.261;4463.692;5647.652
